gene;004 Control R_2016_10_19;008 Control R_2016_10_20;
Phf1;1.06234275523147E-06;1.26198522936233E-06;
Cuta;0.0000132584087093953;0.0000091678878969548;
Syngap1;0.0000370294231892642;0.0000716969414349035;
Zbtb9;6.54982503189048E-06;0.000008275369717944;
Bak1;4.80347993013201E-06;3.41951705618096E-06;
Ggnbp1;7.06166702895252E-08;4.54262766825658E-08;
Itpr3;2.14427261609069E-07;0;
Uqcc2;2.60096144730616E-06;3.72971363124191E-06;
Ip6k3;0;0;
Lemd2;3.63701624498459E-06;3.30876346731679E-06;
Clpsl2;0;0;
Clps;0;0;
Lhfpl5;0;6.29911036664913E-07;
Srpk1;7.92453057686978E-06;8.33810124288659E-06;
Slc26a8;7.68020720667099E-07;1.81012896799862E-06;
Mapk14;6.33024326880043E-06;0.0000037941756810105;
Mapk13;5.72149664389583E-07;0.0000002760187097474;
Brpf3;9.94921875860157E-06;7.36684418429268E-06;
Pnpla1;1.83500252723145E-07;3.18416567984461E-07;
LOC689561;0;0;
Pxt1;0;8.43630852676223E-08;
Kctd20;4.56121836052561E-06;5.55498469146805E-06;
Stk38;1.96850411558902E-06;1.47830083261264E-06;
Srsf3;2.83033676321009E-06;1.95549305338283E-06;
Cdkn1a;0.0000218617871313111;0.0000122906199454763;
Rab44;0;0;
LOC100910615;0;7.61430923441104E-08;
Cpne5;7.06166702895252E-07;2.04418245071546E-06;
Ppil1;7.04001812273237E-06;0.0000044184625119909;
LOC108348120;2.53601472864572E-07;6.70578370075972E-07;
Mln;0;0;
Grm4;5.52562558761832E-07;3.01803529654837E-06;
LOC108353256;0;0;
RGD735065;0.0000102265309382786;7.83019220645485E-06;
Pi16;3.11538069510868E-06;1.25203471161281E-06;
Mtch1;6.80291105460696E-06;4.60406129957967E-06;
LOC102552169;4.74214136250826E-08;0;
Fgd2;3.93288462999326E-07;1.61371440024734E-07;
LOC108353258;0;1.21136737820175E-08;
Hmga1;2.32674196851764E-06;1.50425870500268E-06;
RGD1564450;3.61846003965304E-06;0.000012099396952203;
Nudt3;0.0000208814009496274;0.0000253928560343478;
Rps10;0.0000108187831584441;9.40843084776914E-06;
Pacsin1;6.80394195490315E-07;3.13614361592304E-06;
Spdef;0;0;
LOC499407;1.23708035543693E-08;4.18354376686106E-07;
LOC294154;6.39622088775706E-06;0.0000103186869062464;
Snrpc;3.28857194486986E-07;1.95981936544784E-07;
Uhrf1bp1;0.0000222184786337955;0.0000118445771715741;
Taf11;4.71997700614001E-06;1.92001729444978E-06;
Anks1a;9.65798942492579E-06;3.50258224782908E-06;
Tcp11;0;0;
Scube3;1.07007450745295E-06;3.05870262995943E-07;
Zfp523;1.50923803363306E-06;2.64164614689283E-06;
Def6;6.95857699933277E-08;5.4511532019079E-08;
Ppard;0.0000224153805903692;0.0000109576831982478;
Fance;3.67052050461101E-06;2.94535325385627E-06;
Rpl10a;6.28436820561964E-06;6.85374357338294E-06;
Tead3;1.08553801189591E-06;1.96847198957785E-07;
Tulp1;2.11334560720476E-08;3.11494468680451E-08;
Fkbp5;0.0000111584648060411;3.89670927695115E-06;
Armc12;0;0;
Pim1;3.57000772573176E-06;1.04610225731851E-06;
LOC102547645;0;0;
Tmem217;2.47931521235486E-07;3.59516532602021E-07;
Tbc1d22b;2.04066713632284E-06;4.66938861176127E-06;
Rnf8;5.14676972876576E-06;5.46369950689642E-06;
Cmtr1;7.21217847219734E-06;5.76394556420786E-06;
Ccdc167;5.60809761131411E-07;3.68601787938534E-07;
Mdga1;1.29841892306068E-06;5.30535648531719E-06;
Zfand3;0.0000138924123915568;9.40064348605213E-06;
Btbd9;4.72152335658431E-06;5.69299404634175E-06;
Glo1;6.44312685123405E-06;0.0000101283291753861;
Dnah8;0;0;
Glp1r;0;0;
Umodl1;0;0;
Abcg1;2.27158880267107E-06;7.15139384345537E-07;
